ref,query,RMSD
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS841_4.pdb,4.601000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS841_5.pdb,4.980000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS859_1.pdb,18.364000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS859_2.pdb,18.251000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS859_3.pdb,15.123000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS859_4.pdb,15.103000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS859_5.pdb,16.187000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS872_1.pdb,12.008000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS872_2.pdb,12.817000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS872_3.pdb,11.999000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS872_4.pdb,11.771000
data/farfar2/Mol9_reference_UtoG_buildloop.pdb,data/casp17/R2307/R2307TS872_5.pdb,12.008000
